贝	bèi - coquillage (部首)
文	wén - écriture, texte
分	fēn - diviser / partager / séparer
分钟	fēnzhōng - minute
钅	jīn - radical de 金 (métal / or) (部首)
金	jīn - or / métaux
说	shuō - parler
讠	yán - rapport à : parler (部首)
辶	chuò - marcher (部首)
艹	cǎo - herbe (部首)
火	huǒ - le feu
木	mù - arbre / le bois
月	yuè - la lune / un mois
日	rì - le soleil / un jour
人	rén - personne
从	cóng - suivre ; a) de (venir de) ; b) par (passer par)
个	ge - classificateur général
二	(èr) deux
三	(sān) trois
大	(dà) grand
天	(tiān) ciel, jour
太	tài (trop)
上	shàng - antérieur, passé (+ spéc.) ; dessus, sur, en haut ; aller quelque part ; monter
下	xià - fois (indique qu'une action est brève ou légère) ; postérieur, prochain (+ spéc) ; dessous, sous, en bas ; descendre, sortir
中	zhōng - milieu, centre
了	le - (part. modale marquant le changement ou l'achevé ; cf. aussi liǎo)
子	fils
字	(zì) caractère
口	(kǒu) bouche
手	(shǒu) main
心	xīn - le cœur (radical)
时间	shíjiān - le temps
明年	míngnián - l'année prochaine
认识	rènshi - connaître / rencontrer
放心	fàngxīn - se rassurer / être tranquille
中心	zhōngxīn - le centre
文字	wénzì - l'écriture / le texte
金子	jīnzi - de l'or
出口	chūkǒu - la sortie (litt. « bouche de sortie »)
宝贝	bǎobèi - bébé / trésor
开口	kāikǒu - ouvrir la bouche / commencer à parler
