
时间	shíjiān - le temps
明年	míngnián - l'année prochaine
认识	rènshi - connaître / rencontrer
放心	fàngxīn - se rassurer / être tranquille
中心	zhōngxīn - le centre
文字	wénzì - l'écriture / le texte
金子	jīnzi - de l'or
出口	chūkǒu - la sortie (litt. « bouche de sortie »)
宝贝	bǎobèi - bébé / trésor
开口	kāikǒu - ouvrir la bouche / commencer à parler
不	bù - ne pas
个	ge - (classificateur général)
中心	zhōngxīn - le centre
什么	shénme - quoi / quel
出口	chūkǒu - la sortie
刀	dāo - le couteau
宝贝	bǎobèi - bébé / trésor
开口	kāikǒu - ouvrir la bouche / commencer à parler
我	wǒ - moi, je
打包	dǎbāo - emballer
找	zhǎo - chercher
文字	wénzì - l'écriture, le texte
时间	shíjiān - le temps
知道	zhīdào - savoir
给	gěi - donner
认识	rènshi - connaître / rencontrer
请	qǐng - s'il vous plaît, inviter, demander
请给我这个	qǐng gěi wǒ zhège - s'il vous plaît, donnez-moi ça
这	zhè - ceci
金子	jīnzi - de l'or
